city,property_type,price_tnd,surface_m2,sustainability_score,combined_risk
Ariana,House,630000.0,400.0,78.7,3.67
Ariana,Apartment,235000.0,116.0,78.7,3.67
Ariana,Apartment,185000.0,108.0,78.7,3.67
Ariana,Apartment,150000.0,103.0,78.7,3.67
Ariana,House,105000.0,300.0,78.7,3.67
Ariana,Apartment,288000.0,145.0,78.7,3.67
Ariana,House,250000.0,202.0,78.7,3.67
Ariana,Unknown,85000.0,25.0,78.7,3.67
Ariana,Apartment,199000.0,105.0,78.7,3.67
Ariana,House,210000.0,225.0,78.7,3.67
Ariana,Apartment,650000.0,150.0,78.7,3.67
Ariana,Apartment,205000.0,70.0,78.7,3.67
Ariana,Apartment,124000.0,40.0,78.7,3.67
Ariana,House,75000.0,98.0,78.7,3.67
Ariana,House,200000.0,305.0,78.7,3.67
Ariana,Land,67500.0,1.0,78.7,3.67
Ariana,Apartment,235000.0,112.0,78.7,3.67
Ariana,House,115000.0,170.0,78.7,3.67
Ariana,Land,625000.0,1.0,78.7,3.67
Ariana,Apartment,320000.0,146.0,78.7,3.67
Ariana,Apartment,185000.0,91.0,78.7,3.67
Ariana,Apartment,265000.0,122.0,78.7,3.67
Ariana,Apartment,100000.0,60.0,78.7,3.67
Ariana,Apartment,245000.0,129.0,78.7,3.67
Ariana,Apartment,330000.0,120.0,78.7,3.67
Ariana,House,1150000.0,650.0,78.7,3.67
